Diameter	Elongation	Circularity	Intensity	CellType
18.44	1.61	1.06	81.68	mESCs
18.73	1.42	1.03	71.93	mESCs
16.55	1.61	1.06	80.17	mESCs
22.23	1.5	1.04	81.12	mESCs
17.74	2.12	1.14	86.43	mESCs
18.96	1.42	1.03	73.21	mESCs
21.09	1.43	1.03	77.19	mESCs
19.56	1.45	1.03	80.1	mESCs
18.36	1.91	1.1	84.37	mESCs
19.1	1.43	1.03	70.09	mESCs
18.85	1.62	1.06	81.1	mESCs
16.99	1.56	1.05	86.06	mESCs
17.39	1.31	1.02	70.46	mESCs
20.11	1.66	1.06	79.17	mESCs
22.91	1.38	1.03	74.51	mESCs
18.77	1.39	1.03	77.8	mESCs
21.66	1.55	1.05	80.49	mESCs
21.98	1.53	1.05	71.59	mESCs
21.01	1.42	1.03	78.3	mESCs
20.67	1.38	1.03	82.2	mESCs
19.93	1.49	1.04	77.87	mESCs
19.02	1.84	1.09	82.1	mESCs
18.39	1.51	1.04	75	mESCs
18.06	1.53	1.05	80.17	mESCs
19.54	1.33	1.02	74.78	mESCs
18.9	1.52	1.04	72.51	mESCs
19.06	1.31	1.02	78.18	mESCs
23.03	1.33	1.02	79.73	mESCs
21.7	1.35	1.02	76.21	mESCs
21.62	1.5	1.04	77.08	mESCs
19.7	1.38	1.03	73.56	mESCs
20.73	1.43	1.03	71.54	mESCs
18.01	1.36	1.02	71.53	mESCs
16.95	1.49	1.04	87.01	mESCs
20.5	1.24	1.01	67.56	mESCs
20.15	1.5	1.04	82.23	mESCs
22.01	1.41	1.03	78.59	mESCs
17.2	1.5	1.04	83.87	mESCs
16.75	1.29	1.02	65.87	mESCs
16.93	1.66	1.06	76.33	mESCs
21.46	1.31	1.02	73.3	mESCs
19.73	1.52	1.04	80.21	mESCs
17.75	1.53	1.05	89.95	mESCs
18.42	1.41	1.03	69.98	mESCs
18.21	1.54	1.05	85.65	mESCs
21.28	1.67	1.07	85.89	mESCs
17.58	1.42	1.03	75.36	mESCs
21.46	1.4	1.03	77.81	mESCs
20.94	1.48	1.04	80.81	mESCs
22.2	1.48	1.04	73.29	mESCs
18.28	1.38	1.03	76.44	mESCs
21.25	1.56	1.05	82.56	mESCs
19.59	2.09	1.13	82.69	mESCs
17.51	1.43	1.03	74.9	mESCs
19.71	1.43	1.03	78.18	mESCs
20.73	1.41	1.03	76.29	mESCs
17.37	1.47	1.04	84.07	mESCs
16.95	1.63	1.06	85.3	mESCs
20.47	1.32	1.02	69.12	mESCs
22.34	1.59	1.05	82.86	mESCs
17.39	1.47	1.04	66.87	mESCs
22.06	1.39	1.03	75.49	mESCs
22.62	1.48	1.04	75.99	mESCs
21.48	1.46	1.04	82.16	mESCs
17.44	1.64	1.06	83.33	mESCs
22.85	1.52	1.04	77.58	mESCs
20.15	1.5	1.04	78.05	mESCs
18.33	1.24	1.01	71.91	mESCs
16.64	1.35	1.02	81.12	mESCs
20.69	1.33	1.02	80.42	mESCs
17.48	1.44	1.03	75.87	mESCs
16.99	1.34	1.02	71.45	mESCs
17.09	1.28	1.01	74.21	mESCs
21.49	1.47	1.04	76.71	mESCs
21.27	1.39	1.03	75.29	mESCs
19.51	1.58	1.05	82.61	mESCs
17.7	1.55	1.05	78.55	mESCs
17.32	1.49	1.04	73.86	mESCs
22.93	1.61	1.06	83.61	mESCs
17.44	1.53	1.04	80.39	mESCs
22.83	1.36	1.02	79.75	mESCs
19.02	1.51	1.04	82.68	mESCs
18.69	1.46	1.04	77.12	mESCs
22.1	1.42	1.03	79.38	mESCs
20.2	1.41	1.03	78.83	mESCs
21.48	1.41	1.03	82.94	mESCs
17.89	1.39	1.03	77.97	mESCs
17.51	1.33	1.02	75.83	mESCs
21.58	1.46	1.04	75.98	mESCs
19.46	1.52	1.04	82.78	mESCs
19.09	1.64	1.06	87.71	mESCs
18.49	1.76	1.08	80.4	mESCs
18.99	1.42	1.03	71.59	mESCs
18.94	1.43	1.03	71.68	mESCs
18.51	1.46	1.04	78.43	mESCs
20.56	1.33	1.02	75.01	mESCs
17.04	1.2	1.01	75.05	mESCs
20.92	1.32	1.02	74.44	mESCs
19.1	1.52	1.04	82.26	mESCs
17.37	1.36	1.02	71.26	mESCs
21.95	1.31	1.02	71.09	mESCs
19.64	1.51	1.04	79.31	mESCs
20.14	1.45	1.03	71.22	mESCs
17.51	1.42	1.03	76	mESCs
16.52	1.4	1.03	88.72	mESCs
19.29	1.37	1.02	78.57	mESCs
19.6	1.45	1.03	81.14	mESCs
19.56	1.36	1.02	76.14	mESCs
19.18	1.46	1.04	81.69	mESCs
16.55	1.61	1.06	92.82	mESCs
17.63	1.41	1.03	69.33	mESCs
19.53	1.69	1.07	83.15	mESCs
18.08	1.4	1.03	73.93	mESCs
18.16	1.3	1.02	74.37	mESCs
20.14	1.39	1.03	71.87	mESCs
23.21	1.43	1.03	72.41	mESCs
21.22	1.48	1.04	81.37	mESCs
16.99	1.79	1.08	79.1	mESCs
19.12	1.47	1.04	77.12	mESCs
19.26	1.65	1.06	80.66	mESCs
19.73	1.4	1.03	67.55	mESCs
16.86	1.49	1.04	74.81	mESCs
19.32	1.36	1.02	70.16	mESCs
19.53	1.24	1.01	72	mESCs
18.86	1.29	1.02	74.74	mESCs
19.53	1.41	1.03	74.7	mESCs
16.2	1.5	1.04	77.03	mESCs
12.24	1.59	1.05	71.89	Mesoderm
12.19	1.66	1.06	72.73	Mesoderm
14.08	1.53	1.05	68.91	Mesoderm
15.75	1.47	1.04	65.93	Mesoderm
13.86	1.82	1.09	80.86	Mesoderm
17.97	1.48	1.04	68.03	Mesoderm
16.07	1.21	1.01	71.84	Mesoderm
22.98	1.58	1.05	92.65	Mesoderm
16.93	1.39	1.03	72.78	Mesoderm
16.77	1.41	1.03	74.81	Mesoderm
15.45	1.4	1.03	68.66	Mesoderm
14.87	1.45	1.03	78.16	Mesoderm
15.12	1.27	1.01	68.31	Mesoderm
19.46	1.37	1.02	70.42	Mesoderm
15.14	1.39	1.03	66.5	Mesoderm
15.86	1.92	1.11	77.97	Mesoderm
15.8	1.42	1.03	65.33	Mesoderm
18.42	1.4	1.03	69.34	Mesoderm
18.33	1.23	1.01	65.92	Mesoderm
18.23	1.35	1.02	70.71	Mesoderm
18.39	1.23	1.01	71.52	Mesoderm
15.43	1.52	1.04	74.62	Mesoderm
15.14	1.29	1.02	71.97	Mesoderm
19.46	1.8	1.08	80.37	Mesoderm
15.99	1.48	1.04	69.24	Mesoderm
18.6	1.35	1.02	72	Mesoderm
19.17	1.66	1.06	77.59	Mesoderm
19.28	1.52	1.04	77.61	Mesoderm
15.98	1.36	1.02	77.12	Mesoderm
16.63	1.4	1.03	77.18	Mesoderm
15.28	1.35	1.02	69.75	Mesoderm
15.47	1.35	1.02	70.56	Mesoderm
15.57	1.79	1.08	78.49	Mesoderm
16.18	1.71	1.07	83.1	Mesoderm
17.22	1.68	1.07	78.89	Mesoderm
17.16	1.53	1.04	74.11	Mesoderm
19.17	1.59	1.05	79	Mesoderm
14.81	1.53	1.05	66.22	Mesoderm
13.58	1.42	1.03	72.17	Mesoderm
16.29	1.64	1.06	75.69	Mesoderm
21.05	1.44	1.03	75.3	Mesoderm
15.55	1.4	1.03	70.07	Mesoderm
22.94	2.2	1.15	74.55	Mesoderm
17.91	1.79	1.08	79.44	Mesoderm
17.7	1.4	1.03	77.96	Mesoderm
20.09	1.29	1.02	74.16	Mesoderm
19.34	1.42	1.03	73.92	Mesoderm
16.24	1.29	1.02	71.43	Mesoderm
14.67	1.58	1.05	74	Mesoderm
16.93	1.54	1.05	76.89	Mesoderm
17.16	1.38	1.03	70.43	Mesoderm
17.53	1.32	1.02	71.32	Mesoderm
16.22	1.72	1.07	80.19	Mesoderm
16.18	1.47	1.04	78.94	Mesoderm
17.53	1.39	1.03	67.77	Mesoderm
17.62	1.26	1.01	70.09	Mesoderm
17.44	1.34	1.02	68.28	Mesoderm
17.44	1.34	1.02	71.79	Mesoderm
15.63	1.67	1.06	74.19	Mesoderm
19.59	1.39	1.03	71.22	Mesoderm
16.07	1.79	1.08	75.65	Mesoderm
22.36	1.73	1.08	63.17	Mesoderm
14.36	1.28	1.01	69.26	Mesoderm
13.82	1.43	1.03	67.77	Mesoderm
16.2	1.39	1.03	69.81	Mesoderm
18.54	1.98	1.12	84.64	Mesoderm
14.55	1.68	1.07	79.37	Mesoderm
19.46	1.35	1.02	71.8	Mesoderm
14.19	1.36	1.02	71.59	Mesoderm
20.06	1.35	1.02	69.43	Mesoderm
20.14	1.22	1.01	72.95	Mesoderm
13.69	1.42	1.03	73.69	Mesoderm
14.19	1.85	1.09	69.18	Mesoderm
13.97	1.42	1.03	74.87	Mesoderm
14.79	1.4	1.03	78.77	Mesoderm
18.82	1.67	1.07	79.72	Mesoderm
15.75	1.47	1.04	76.59	Mesoderm
16.64	1.53	1.04	67.25	Mesoderm
17.36	1.5	1.04	76.51	Mesoderm
16.63	1.4	1.03	69.74	Mesoderm
17.39	1.49	1.04	73.51	Mesoderm
15.61	1.66	1.06	76.57	Mesoderm
14.69	1.47	1.04	75.03	Mesoderm
19.6	1.33	1.02	71.83	Mesoderm
14.52	1.69	1.07	78.65	Mesoderm
19.76	1.44	1.03	75.45	Mesoderm
17.22	1.31	1.02	68.37	Mesoderm
16.88	1.53	1.04	76.47	Mesoderm
15.08	2.12	1.14	80.48	Mesoderm
15.65	1.34	1.02	68.95	Mesoderm
14.01	1.43	1.03	73.62	Mesoderm
18.36	1.29	1.02	70.91	Mesoderm
14.59	1.51	1.04	69.7	Mesoderm
18.29	1.31	1.02	73.74	Mesoderm
18.13	2.05	1.13	68.89	Mesoderm
16.52	1.37	1.02	65.5	Mesoderm
14.98	1.43	1.03	72.51	Mesoderm
17.13	1.38	1.03	74.93	Mesoderm
15.24	1.56	1.05	73.55	Mesoderm
17.62	1.4	1.03	69.34	Mesoderm
15.06	1.68	1.07	78.69	Mesoderm
18.39	1.46	1.04	71.08	Mesoderm
16.41	1.62	1.06	70.62	Mesoderm
19.43	1.57	1.05	76.4	Mesoderm
17.99	1.57	1.05	76.87	Mesoderm
15.24	1.61	1.06	82.72	Mesoderm
17.11	1.37	1.02	69	Mesoderm
18.36	1.37	1.02	72.77	Mesoderm
15.47	1.64	1.06	82.22	Mesoderm
18.44	1.25	1.01	70.78	Mesoderm
16.61	1.48	1.04	80.78	Mesoderm
14.98	1.44	1.03	71.42	Mesoderm
16.84	1.77	1.08	77.93	Mesoderm
17.5	1.29	1.02	74.88	Mesoderm
16.28	1.58	1.05	58.44	Mesoderm
16.95	1.39	1.03	76.6	Mesoderm
16.46	1.41	1.03	76.23	Mesoderm
16.22	1.44	1.03	76.46	Mesoderm
15.43	1.67	1.07	73.49	Mesoderm
15.51	1.4	1.03	74.77	Mesoderm
14.57	1.32	1.02	72.28	Mesoderm
15.32	1.61	1.06	79.66	Mesoderm
19.21	1.28	1.02	74.66	Mesoderm
18.23	1.61	1.06	79.34	Mesoderm
16.59	1.88	1.1	88.07	Mesoderm
16.09	1.36	1.02	74.61	Mesoderm
18.56	1.42	1.03	70.87	Mesoderm
14.71	2.01	1.12	88.45	Mesoderm
16.5	1.56	1.05	79.11	Mesoderm
14.9	1.42	1.03	72.67	Mesoderm
18.28	1.44	1.03	78.56	Mesoderm
17.04	1.46	1.04	73.27	Mesoderm
17.06	1.75	1.08	70.28	Mesoderm
14.79	1.66	1.06	71.08	Mesoderm
15.65	1.63	1.06	70.85	Mesoderm
18.47	1.25	1.01	71.67	Mesoderm
16.11	1.33	1.02	74.89	Mesoderm
17.57	1.26	1.01	70.83	Mesoderm
18.8	1.43	1.03	76.41	Mesoderm
19.56	1.39	1.03	74.33	Mesoderm
13.66	1.55	1.05	80.3	Mesoderm
13.66	1.5	1.04	84.38	Mesoderm
15.82	1.4	1.03	70.3	Mesoderm
16.9	1.75	1.08	85.29	Mesoderm
17.99	1.42	1.03	75.54	Ectoderm
16.31	2.1	1.14	80.58	Ectoderm
15.92	1.36	1.02	69.61	Ectoderm
17.06	1.4	1.03	72.43	Ectoderm
15.34	1.48	1.04	75.35	Ectoderm
15.38	2.07	1.13	83.34	Ectoderm
16.64	1.24	1.01	70.16	Ectoderm
15.22	1.32	1.02	68.09	Ectoderm
16.88	1.38	1.03	70.56	Ectoderm
15.02	1.52	1.04	73.63	Ectoderm
15.22	1.39	1.03	69.4	Ectoderm
16.44	1.32	1.02	65.99	Ectoderm
17.36	1.5	1.04	69.03	Ectoderm
13.66	1.31	1.02	81.3	Ectoderm
14.31	1.51	1.04	69.69	Ectoderm
18.31	2.19	1.15	93.03	Ectoderm
16.2	1.42	1.03	74.99	Ectoderm
14.87	1.48	1.04	73.5	Ectoderm
14.98	1.5	1.04	79.99	Ectoderm
13.97	1.67	1.07	70.34	Ectoderm
18.14	1.35	1.02	76.01	Ectoderm
14.85	1.48	1.04	77.06	Ectoderm
15.06	1.33	1.02	69.99	Ectoderm
18.52	1.19	1.01	70.47	Ectoderm
16.31	1.41	1.03	69.83	Ectoderm
13.55	1.57	1.05	74.27	Ectoderm
16.16	1.38	1.03	68.15	Ectoderm
16.92	1.3	1.02	76.51	Ectoderm
18.23	1.49	1.04	77.87	Ectoderm
16.22	1.33	1.02	69.33	Ectoderm
15.16	2.18	1.15	87.32	Ectoderm
15.08	1.39	1.03	84.4	Ectoderm
17.91	1.45	1.03	71.8	Ectoderm
15.65	1.41	1.03	76.43	Ectoderm
18.75	1.63	1.06	71.85	Ectoderm
15.55	1.41	1.03	74.24	Ectoderm
15.96	1.55	1.05	79.32	Ectoderm
16.93	1.52	1.04	72.02	Ectoderm
18.21	1.41	1.03	74.64	Ectoderm
15.63	1.58	1.05	76.44	Ectoderm
18.83	1.46	1.04	71.52	Ectoderm
13.64	1.59	1.05	78.25	Ectoderm
14.67	1.6	1.05	69.1	Ectoderm
15.92	1.29	1.02	72.31	Ectoderm
13.84	1.51	1.04	74.76	Ectoderm
15.02	1.64	1.06	79.03	Ectoderm
15.96	1.44	1.03	73.4	Ectoderm
17.13	1.38	1.03	68.38	Ectoderm
16.75	1.37	1.02	65.41	Ectoderm
17.11	1.45	1.03	67.07	Ectoderm
15.98	1.67	1.07	76.31	Ectoderm
16.73	1.43	1.03	70.91	Ectoderm
15.57	1.35	1.02	77.34	Ectoderm
17.41	1.3	1.02	69	Ectoderm
16.99	2.15	1.14	80.45	Ectoderm
18.21	1.4	1.03	73.6	Ectoderm
15.38	1.27	1.01	69.35	Ectoderm
15.73	1.56	1.05	75.21	Ectoderm
14.71	1.45	1.03	80.3	Ectoderm
14.57	1.6	1.06	77.77	Ectoderm
15.9	1.3	1.02	69.44	Ectoderm
14.42	1.53	1.04	76.24	Ectoderm
15.08	1.59	1.05	72.2	Ectoderm
15.84	1.7	1.07	74.36	Ectoderm
14.17	1.65	1.06	86.18	Ectoderm
18.54	1.38	1.03	71.62	Ectoderm
17.34	1.28	1.02	67.56	Ectoderm
18.49	1.6	1.05	77.99	Ectoderm
18.75	1.41	1.03	70.78	Ectoderm
14.81	1.9	1.1	79.29	Ectoderm
17.2	1.29	1.02	68.02	Ectoderm
13.51	1.69	1.07	77.63	Ectoderm
16.79	1.48	1.04	77.01	Ectoderm
15.2	1.33	1.02	71.66	Ectoderm
16.42	1.79	1.08	87.05	Ectoderm
15.32	1.51	1.04	75.9	Ectoderm
16.09	1.43	1.03	68.72	Ectoderm
15.55	1.44	1.03	71.95	Ectoderm
19.21	1.38	1.03	68.69	Ectoderm
19.17	1.33	1.02	73.81	Ectoderm
16.73	1.4	1.03	72.25	Ectoderm
16.92	1.3	1.02	69.41	Ectoderm
15.73	1.39	1.03	68.23	Ectoderm
16.42	1.35	1.02	68.87	Ectoderm
17.46	1.46	1.04	72.44	Ectoderm
16.42	1.37	1.02	72.62	Ectoderm
15.61	1.37	1.02	70.4	Ectoderm
16.92	1.43	1.03	74.95	Ectoderm
17.96	1.56	1.05	75.87	Ectoderm
14.71	1.33	1.02	72.87	Ectoderm
16.42	1.33	1.02	70.29	Ectoderm
14.52	1.62	1.06	78.09	Ectoderm
18.49	1.21	1.01	68.45	Ectoderm
15.92	1.4	1.03	74.33	Ectoderm
18.51	1.42	1.03	74.26	Ectoderm
17.48	1.4	1.03	75.22	Ectoderm
16.57	1.76	1.08	79.68	Ectoderm
15.8	1.43	1.03	75.69	Ectoderm
14.9	1.98	1.12	94.96	Ectoderm
15.57	1.64	1.06	79.78	Ectoderm
17.57	1.27	1.01	68.99	Ectoderm
14.48	1.53	1.05	69.36	Ectoderm
14.38	1.63	1.06	101.48	Ectoderm
17.25	1.43	1.03	77.59	Ectoderm
14.38	1.51	1.04	72.81	Ectoderm
17.77	1.26	1.01	71.21	Ectoderm
16.61	1.46	1.04	79.41	Ectoderm
18.94	1.39	1.03	73.28	Ectoderm
16.99	1.32	1.02	70.25	Ectoderm
14.96	1.66	1.06	77	Ectoderm
15.08	1.47	1.04	74.63	Ectoderm
17.86	1.66	1.06	77.27	Ectoderm
16.31	1.39	1.03	81.61	Ectoderm
14.5	1.51	1.04	76.67	Ectoderm
15.12	1.69	1.07	81.28	Ectoderm
16.5	1.5	1.04	76.45	Ectoderm
18.18	1.32	1.02	72.59	Ectoderm
16.35	1.53	1.05	74.52	Ectoderm
13.73	1.91	1.1	67.61	Ectoderm
15.36	1.58	1.05	76.17	Ectoderm
17.75	1.39	1.03	70.57	Ectoderm
14.67	1.4	1.03	72.64	Ectoderm
17.69	1.42	1.03	75.21	Ectoderm
18.34	1.34	1.02	75.04	Ectoderm
17.22	1.39	1.03	69.34	Ectoderm
15.63	1.47	1.04	70.86	Ectoderm
14.5	1.57	1.05	73.23	Ectoderm
15.63	1.36	1.02	68.95	Ectoderm
18.99	1.57	1.05	72.72	Ectoderm
18.21	1.35	1.02	69.5	Ectoderm
14.4	1.43	1.03	74.33	Ectoderm
15.82	1.5	1.04	78.16	Ectoderm
18.47	1.68	1.07	74.55	Ectoderm
14.79	1.56	1.05	75.2	Ectoderm
17.22	1.56	1.05	77.47	Ectoderm
18.09	1.63	1.06	73.3	Ectoderm
14.31	1.42	1.03	76.99	Ectoderm
15.8	1.95	1.11	92.52	Ectoderm
17.58	1.38	1.03	69.54	Ectoderm
14.61	1.53	1.04	72.91	Ectoderm
15.71	2.17	1.15	73.97	Ectoderm
14.36	2.07	1.13	78.29	Ectoderm
15.88	1.27	1.01	67.72	Ectoderm
15.98	1.42	1.03	72.61	Ectoderm
